image_path,text,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_000.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_001.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_003.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_004.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_005.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_008.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_010.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_013.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_014.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_015.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_016.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_017.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_018.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_020.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_021.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_022.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_023.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_024.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_027.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_028.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_029.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_030.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_034.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_035.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_037.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_038.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_046.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_047.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\0\train_041.png,holding weapon not shooting at enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_056.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_057.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_058.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_059.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_060.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_061.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_062.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_063.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_064.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_065.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_066.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_067.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_068.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_069.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_070.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_071.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_072.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_073.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_074.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_075.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_076.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_077.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_078.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_079.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_080.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_081.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_082.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_083.png,killed an enemy,,
C:\Users\KIT_Rental\Desktop\kono\project_001\Train_CLIP\CLIP_train_data\VALO\1\train_084.png,killed an enemy,,
